,0,1
430,Imipramine,/mtm/imipramine.html
431,Imiquimod,/cons/imiquimod.html
432,Imitrex,/imitrex.html
433,Imodium,/pro/imodium.html
434,Impoyz,/impoyz-cream.html
435,Imuran,/mtm/imuran.html
436,Inbrija,/inbrija.html
437,Incruse Ellipta,/incruse-ellipta.html
438,Indapamide,/mtm/indapamide.html
439,Inderal,/inderal.html
440,Indomethacin,/mtm/indomethacin.html
441,Infed,/mtm/infed.html
442,Inflectra,/inflectra.html
443,Infliximab,/infliximab.html
444,Ingrezza,/ingrezza.html
445,Injectafer,/injectafer.html
446,Inlyta,/inlyta.html
447,Inrebic,/inrebic.html
448,Insulin Aspart,/mtm/insulin-aspart.html
449,Insulin Detemir,/insulin-detemir.html
450,Insulin Glargine,/insulin-glargine.html
451,Insulin Lispro,/insulin-lispro.html
452,Insulin Regular,/insulin-regular.html
453,Intuniv,/intuniv.html
454,Invega,/invega.html
455,Invega Sustenna,/invega-sustenna.html
456,Invokana,/invokana.html
457,Iopamidol,/mtm/iopamidol.html
458,Ipratropium,/pro/ipratropium.html
459,Irbesartan,/mtm/irbesartan.html
460,Isoniazid,/mtm/isoniazid.html
461,Isosorbide,/isosorbide_mononitrate.html
462,Isosorbide dinitrate,/mtm/isosorbide-dinitrate.html
463,Isosorbide Mononitrate,/pro/isosorbide-mononitrate.html
464,Isotretinoin,/mtm/isotretinoin.html
465,Itraconazole,/mtm/itraconazole.html
466,Ivabradine,/mtm/ivabradine.html
467,Ivermectin,/ivermectin.html
468,Jadelle,/cons/jadelle.html
469,Jadenu,/jadenu.html
470,Jaimiess,/pro/jaimiess.html
471,Jakafi,/jakafi.html
472,Jalyn,/jalyn.html
473,Jantoven,/mtm/jantoven.html
474,Janumet,/janumet.html
475,Janumet XR,/mtm/janumet-xr.html
476,Januvia,/januvia.html
477,Jardiance,/jardiance.html
478,Jasmiel,/mtm/jasmiel.html
479,Jatenzo,/jatenzo.html
480,Jaypirca,/jaypirca.html
481,Jemperli,/jemperli.html
482,Jencycla,/mtm/jencycla.html
483,Jentadueto,/jentadueto.html
484,Jentadueto XR,/mtm/jentadueto-xr.html
485,Jevtana,/jevtana.html
486,Jinteli,/cons/jinteli.html
487,Jolessa,/cons/jolessa.html
488,Jornay PM,/jornay-pm.html
489,Jubbonti,/jubbonti.html
490,Jublia,/jublia.html
491,Jujube,/npp/jujube.html
492,Juleber,/mtm/juleber.html
493,Juluca,/juluca.html
494,Junel,/pro/junel.html
495,Junel 1.5/30,/cons/junel-1-5-30.html
496,Junel 1/20,/cons/junel-1-20.html
497,Junel Fe 24,/pro/junel-fe-24.html
498,Juvederm,/juvederm.html
499,Juxtapid,/juxtapid.html
500,Jynarque,/mtm/jynarque.html
501,Jynneos,/jynneos.html
502,K-Dur,/k-dur.html
503,K-Tab,/pro/k-tab.html
504,Kadcyla,/kadcyla.html
505,kalbitor,/kalbitor.html
506,Kaletra,/kaletra.html
507,Kanamycin,/cons/kanamycin.html
508,Kantrex,/cons/kantrex.html
509,Kaopectate,/mtm/kaopectate.html
510,Kava,/npc/kava.html
511,Kayexalate,/mtm/kayexalate.html
512,Keflex,/keflex.html
513,Kenalog,/kenalog.html
514,Kenalog-40,/kenalog-40.html
515,Keppra,/keppra.html
516,Keppra XR,/cons/keppra-xr.html
517,Kerasal,/mtm/kerasal.html
518,Kerendia,/kerendia.html
519,Kesimpta,/kesimpta.html
520,Ketalar,/mtm/ketalar.html
521,Ketamine,/ketamine.html
522,Ketoconazole,/mtm/ketoconazole.html
523,Ketoconazole topical,/mtm/ketoconazole-topical.html
